Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Baker, Justin",Colonial,Col. of Charleston,Sr,P,,,58.6,284,21.48,4.93,16.55,0.223,0.282,0.263,0.245,29.23,17.96,2.29
"Baker, Kevin",West Coast,Portland,Jr,OF,,,74.6,359,31.75,9.75,22,0.225,0.318,0.314,0.284,18.11,16.16,2.42
"Baker, Robbie",Atlantic 10,Richmond,Sr,P,,,129.8,599,21.37,8.01,13.36,0.265,0.336,0.4,0.319,18.86,23.21,4.06
"Baker, T.J.",Mid American,Ball St.,Jr,INF,,,37.1,197,24.37,10.66,13.71,0.253,0.335,0.386,0.313,26.9,11.68,3.9
"Baker, Tristan",Southern,Western Caro.,Jr,P,,,113.3,592,13.68,10.3,3.38,0.34,0.41,0.523,0.395,19.93,22.47,5
"Baksha, J.T.",Summit League,Western Ill.,Jr,P,,,46.5,262,17.94,10.69,7.25,0.288,0.374,0.434,0.353,24.43,19.08,5.49
"Bakst, Daniel",Pac 12,Stanford,So,INF,,,6.2,31,19.35,12.9,6.45,0.231,0.355,0.346,0.319,16.13,29.03,5.73
"Balderrama Jr., Max",Western Athletic,UTRGV,Fr,P,,,11.2,48,35.42,18.75,16.67,0.175,0.333,0.225,0.273,18.75,14.58,2.52
"Balderson, Brock",Big East,Butler,Jr,P,,,24.3,131,12.98,6.11,6.87,0.287,0.351,0.435,0.339,13.74,35.88,4.96
"Balducci, Antonio",Atlantic 10,Richmond,Fr,P,,,22,99,18.18,12.12,6.06,0.256,0.354,0.451,0.344,18.18,25.25,4.6
"Baldwin, Erin",Southern,Samford,Sr,P,2018,609,46.9,224,20.54,5.36,15.18,0.279,0.326,0.441,0.329,18.75,26.34,4.43
"Ball, Brendan",Patriot,Lafayette,Sr,P,,,38.3,212,11.79,11.32,0.47,0.339,0.406,0.456,0.371,13.21,31.13,5.16
"Ball, Matt",Patriot,Army,Sr,P,,,115.9,569,21.97,8.44,13.53,0.285,0.35,0.396,0.323,23.73,15.47,3.44
